
==================================================================
| IO Statistics                                                  |
|                                                                |
| Duration: 300.408637 secs                                      |
| Interval:   1 secs                                             |
|                                                                |
| Col 1: tcp                                                     |
|     2: tcp.analysis.lost_segment                               |
|     3: tcp.analysis.retransmission                             |
|----------------------------------------------------------------|
|            |1                |2               |3               |
| Interval   | Frames |  Bytes | Frames | Bytes | Frames | Bytes |
| 285 <> 286 |      2 |    132 |      0 |     0 |      0 |     0 |
| 286 <> 287 |      0 |      0 |      0 |     0 |      0 |     0 |
| 287 <> 288 |      2 |    132 |      0 |     0 |      0 |     0 |
| 288 <> 289 |      0 |      0 |      0 |     0 |      0 |     0 |
| 289 <> 290 |      5 |    436 |      0 |     0 |      0 |     0 |
| 290 <> 291 |      0 |      0 |      0 |     0 |      0 |     0 |
| 291 <> 292 |      0 |      0 |      0 |     0 |      0 |     0 |
| 292 <> 293 |      8 |   1050 |      0 |     0 |      0 |     0 |
| 293 <> 294 |      1 |     66 |      0 |     0 |      0 |     0 |
| 294 <> 295 |      4 |    352 |      0 |     0 |      0 |     0 |
| 295 <> 296 |      6 |    506 |      0 |     0 |      0 |     0 |
| 296 <> 297 |     12 |   1184 |      0 |     0 |      0 |     0 |
| 297 <> 298 |      0 |      0 |      0 |     0 |      0 |     0 |
| 298 <> 299 |      4 |    264 |      0 |     0 |      0 |     0 |
| 299 <> 300 |      3 |    250 |      0 |     0 |      0 |     0 |
| 300 <> Dur |      3 |    198 |      0 |     0 |      0 |     0 |
==================================================================
